问题,关键字,相似问,答案
幸运星问题反馈群,幸运星,直播幸运助手,"<font color=""orange"">**亲爱的同学好~**</font>
幸运星抽奖问题反馈沟通?
![4a375d63-b590-4286-98c5-1c63e89d12be.jpg](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/34613337356436332d623539302d343238362d393863352d3163363365383964313262652e6a70671654602902147.jpg)"
资产的维修价格是多少,"赔偿价格,赔偿金额,维修价格",资产破损标准|需要赔钱吗|资产损坏赔偿|资产的维修价格是多少|维修金额|费用|维修费用|多少钱,"<font color=""orange"">**亲爱的同学好~**</font>
资产的维修价格是根据维修商检测后的结果、报价及资产净值评估赔偿金额的，资产同学拿到报价后会第一时间联系您哦~"
如何开通个人店铺,开通店铺,电商开店流程|在哪里开通个人店铺,"<font color=""orange"">**亲爱的同学好~**</font>
开通个人店铺方法：
APP 端 - PP 左上角 - 更多 - 更多功能（快手小店） - 0 元开通。"
快门的网址、对接人、权限申请,快门,快门百科的问题如何反馈|想在快门首页做宣传|快门是什么|快门网址|快门对接人|快门权限申请,"<font color=""orange"">**亲爱的同学好~**</font>
快门是快手的内部社区
快门的地址请[点击这里](https://home.corp.kuaishou.com/)；
快门的相关问题可以扫码进群咨询：
![1695629993177.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/313639353632393939333137372e706e671695630171436.png)"
需要音乐版权授权咨询谁,音乐版权,您好，请问外部有人询问演唱会版权，是否有对外咨询电话呢～|音乐中心|快手音乐|音乐入库的对接人,"<font color=""orange"">**亲爱的同学好~**</font>
快手可以作为商用的音乐库、BGM 可以咨询版权音乐库对接人：<@=username(weiwenjuan)=>、<@=username(zhangtianze)=>。"
GitLab: You are not allowed to push code to protected branches on this project,,GitLab: You are not allowed to push code to protected branches on this project,"**问题示例**
发包失败提示：GitLab: You are not allowed to push code to protected branches on this project
**问题原因**
发release包时流水线需要修改项目版本号并push到git远端，所以需要有push代码的权限，在往设置了保护分支的分支push代码时没有权限就会报这个错
**解决方案**
流水线用的是yinxin的账号，所以需要在git上给yinxin开push保护分支的权限"
AccessProxy 问题对接人,,ap问题,"<font color=""orange"">**亲爱的同学好~**</font>
关于 AccessProxy 的相关问题，可以参考此文档 [AccessProxy 用户使用手册及常见问题](https://docs.corp.kuaishou.com/k/home/VEu3VU8dN-Bg/fcADTzkMZwaYaT_4egvgs6ySA)；
如果文档无法解决您的问题，可以扫码进群反馈咨询：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671716449394266.png)

或者 Kim 搜索「内网应用安全网关(AccessProxy)」消息号进行反馈。"
如何申请访客餐券,"访客餐券,访客就餐,访客吃饭,访客",访客餐券|餐券,"<font color=""orange"">**亲爱的同学好~**</font>
访客可由邀请人使用能量券或微信/支付宝/现金支付用餐费用，其他问题请联系[行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&tnk=1683531544163&ticket=ST-5453006-nUe1gFaoCIPLOVMQ1lmFPnAZwvI-kssso)咨询。"
离职安全审计节点,"安全节点,安全审计,审计节点",离职安全审计流程,"<font color=""orange"">**亲爱的同学好~**</font>
* 正常情况下不需要同学有其他操作，耐心等待即可，会做常规的数据外传/拷贝等审计（如果无异常，约1-3分钟），
* 审计流程优先机审，机审不过会进行人工审批，不建议进行催办提醒，催办前请确认安全审计之前的所有节点已审计完，
* **周五or法定节假日离职审批截止到 20:00 点（以中国北京时间为准）**，请离职同学关注之前节点的审批时效，避免影响离职审批流程。"
如何安装Chrome浏览器插件,"浏览器插件,谷歌插件,高亮插件,安装插件",有flash 插件嘛|浏览器插件安装教程|浏览器插件怎么安装|浏览器插件如何安装|怎么安装浏览器插件|如何安装浏览器插件|安装浏览器插件|浏览器插件安装|浏览器如何安装插件|浏览器插件安装方法|请问有浏览器高亮插件吗|如何给谷歌浏览器安装高亮插件|怎样安装chrome浏览器插件|怎么安装Chrome浏览器插件|高亮插件安装,"<font color=""orange"">**亲爱的同学好~**</font>

请[点击这里](https://docs.corp.kuaishou.com/k/home/VCe2rt8T7LNM/fcACtdpZX7-0a89cqS_jW8pzM#section=h.3vkgwzsuw7so)查看Chrome浏览器插件安装方法。"
如何使用无序/有序列表,"有序列表,无序列表",你好，doc表格怎么加序号|怎样使用有序列表|想使用有序列表|怎么正常多级的无序列表|怎么正常多级的有序列表|无序符号怎么出来其他样式的|有序符号怎么出来其他样式的|如何使用无序列表,"<font color=""orange"">**亲爱的同学好~**</font>
如何使用有序/无序列表，请查看帮助文档：[如何使用有序/无序列表](https://docs.corp.kuaishou.com/k/home/VF-0zLaEkpaw/fcADNWTi4CGPBbBih9z4J-Yz9?ro=false#section=h.pj9gah8yufse)。"
Kim 有抽签软件吗,抽签,怎么用kim抽签|Kim能抽签吗,"<font color=""orange"">**亲爱的同学好~**</font>
很抱歉，目前 Kim 没有抽签的软件或者程序；
不过可以尝试在群聊中添加群机器人「铁厂幸运星」或者在 Docs 在线文档中添加「一起来抽奖」插件，看看是否能满足您的需求。"
离职同学邮箱的邮件恢复流程,"邮件恢复,邮件恢复流程,恢复邮箱",恢复离职同学邮箱的邮件流程,"<font color=""orange"">**亲爱的同学好~**</font>
* 申请方发送邮件说明恢复邮箱、邮件描述（时间区间、主题、发送人等条件），由申请方及离职方直属leader确认，并抄送双方二级leader、aq-xms@kuaishou.com、mailman@kuaishou.com。（如需指定恢复邮件的内容接收人，需在邮件申请中写清），
* leader审批通过后，可联系IT侧- <@=username(zhiyue)=>处理，将在所需时间结束后关闭账号。"
商家可以删除差评吗,删除差评,怎么删除差评,"<font color=""orange"">**亲爱的同学好~**</font>
目前商家不能自己删除或修改差评哦～"
kim消息如何查询,查消息,要查询别人的kim消息|怎么查询别人的kim消息,"<font color=""orange"">**亲爱的同学好~**</font>
查询前申请方需与「被查询人」leader（直属或跨级）充分沟通，申请方已与被查询人leader确认查询需求，可进行流程申请：[Kim 消息查询申请流程（试行）](https://docs.corp.kuaishou.com/d/home/fcACacbKB3erdzyBAy7V8Y6VP)。"
如何查看我的待办任务,待办任务,未完成的任务在哪里查看|怎么查看我的待办任务,"<font color=""orange"">**亲爱的同学好~**</font>
点击左侧导航栏「个人中心」-「我的待办」，右侧支持筛选：未完成任务、已完成任务、全部任务：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671657779729257.png)"
软件打不开，无法使用是怎么回事,,网盘闪退|申请过加白流程|百度网盘加白|百度网盘打不开|百度网盘不能使用吗|问下，电脑上，有道云笔记打不开，点击后没反应，这个能解决么？|wps没法用了|wps打不开了,"<font color=""orange"">**亲爱的同学好~**</font>
分为以下两种情况：
#### 外包同学：
因外包人员安全违规事件呈上升趋势，且存在网盘等数据泄露问题，为降低数据泄露风险，公司将会逐步开启 kepm 安全策略，策略如下：
* 禁止USB存储介质使用；
* 禁止安装云盘类客户端软件，包括但不限于百度云盘、360云盘、115网盘、腾讯网盘、新浪网盘、网易网盘等；
* 禁用同步缓存类软件，包括但不限于 WPS、有道云笔记、印象云笔记、为知笔记、OneNote 等；
* 如因工作需求需要解除 kepm 限制，请同学自行发起 [终端加白流程](https://bpm.corp.kuaishou.com/approval/v2/agile-process/create/agile_zdaqjblc)；
#### CNY 项目组的同学：
应 CNY 项目组要求，即日起安全将针对所有 CNY 项目成员开启封禁 USB/网盘相关功能，如因工作需要开启，请通过流程中心内的 [USB/网盘解禁流程](https://bpm.corp.kuaishou.com/approval/v2/agile-process/create/agile_usbwpjj) 进行申请。
\
如果流程通过后依然无法使用，请联系<@=username(aq-xms)=> 反馈咨询。"
差旅报销单无法打印，页面提示401,"差旅报销单,401",该网页无法正常运作，401|报销单打印失败,"<font color=""orange"">**亲爱的同学好~**</font>
打印差旅报销单提示401时，如下图所示，请先点击这个地址：[https://bpm.corp.kuaishou.com/](https://bpm.corp.kuaishou.com/)，刷新单据后再点击打印。
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671677493692287.png)"
为什么按时开播了，预告却显示未按时开播,,预告未显示按时开播怎么回事,"<font color=""orange"">**亲爱的同学好~**</font>
系统检测预告时间前后半小时之内的开播动作，如预告是8点开播，那么7点半以前开播或者8点半以后开播都被认为未按时开播。"
社招内推链接的有效期是多久,"内推链接,链接有效期",内推链接失效的提醒|社招内推链接的有效期多久呢,"<font color=""orange"">**亲爱的同学好~**</font>
社招内推链接是不会失效的，除非当前岗位失效。"
资产领取平台有防窥膜吗,防窥膜,想问一下物资可以领电脑屏幕膜吗，防窥膜|你好 想问下 资产领取有防窥屏膜吗,"<font color=""orange"">**亲爱的同学好~**</font>

非常抱歉，目前资产领取平台没有防窥膜哦。"
为什么员工提交离职申请时，系统页面未展示剩余年假天数,"年假天数,离职年假",员工提交离职申请时，系统页面未展示剩余年假天数是什么原因呢,"<font color=""orange"">**亲爱的同学好~**</font>
离职申请页面剩余年假天数展示规则为**非一线正式员工展示，一线员工不展示**。"
即将入职的候选人未生成用户名是为什么,,即将入职的候选人未生成用户名，是什么原因,"<font color=""orange"">**亲爱的同学好~**</font>

**未生成用户名一般是用户名长度超过20字符**，如超过20字符需与候选人沟通修改用户名长度"
如何取消特别关注,"特别关注,取消特别关注",怎么取消关注的人|特别关注在哪里取消|怎么把特别关注取消啊|我想把我关注的人特别取消了|怎么取消特别关注|我该怎么取消特别关注|特别关注怎么取消|怎么取消特别关注啊|怎么取消特别关注呢|怎么取消特别关注呀|怎样把特别关注取消|想取消特别关注,"<font color=""orange"">**亲爱的同学好~**</font>
您可以用以下两种方式取消「特别关注」：
方法 1：Kim 打开对方个人页，点击名字下面五角星图标可以取消特别关注；
方法 2：Kim 通讯录「特别关注」，选择对应人名后可以取消特别关注。"
Docs 点击插入附件没有反应,,为啥我创建的doc点插入附件没反应|点击上传文档没反应|点击插入封面没反应|上传文档没有反应,"<font color=""orange"">**亲爱的同学好~**</font>
在 Docs 中点击上传、插入（包含上传文档、插入附件、插入封面等）按钮没有反应，是由于谷歌浏览器版本问题，需要更新浏览器版本后重启浏览器即可。"
如何提升商家等级,"商家等级,提升等级",多少单量可以保级,"<font color=""orange"">**亲爱的同学好~**</font>
商家可以在【成长任务】和【成长说明】模块根据页面“建议”做相应任务来提升等级。当四个指标均表现“优秀“可以升级，有一个表现“较差”就会降级。"
招聘系统中少数民族的同学名字中间加不了点该怎么办,,招聘系统中少数民族的同学名字中间加不了点怎么处理呢,"<font color=""orange"">**亲爱的同学好~**</font>

招聘系统少数民族名字中间可以加点，**如无法添加请排查下名字中间是否输入了空格，删除空格重试即可**"
直播结束页新增涨粉为什么为0,新增涨粉0,为什么直播结束涨粉是0,"<font color=""orange"">**亲爱的同学好~**</font>
直播结束后的涨粉规则为：涨粉数量=Max(0，直播结束的时候粉丝-直播开始的时候的粉丝)
比如：直播过程中，新增了3个关注，5个取关，也会显示0。"
戴尔电脑无声音,"无声音,电脑没声,没声,dell",麦克风坏了|戴尔一体机没声音|戴尔笔记本没声音|无法使用麦克风|麦克风异常|麦克风不能说话|麦克风功放|声卡异常,"<font color=""orange"">**亲爱的同学好~**</font>

电脑声音异常修复工具如下，请按照电脑型号下载、运行：

1、[Latitude 5310 驱动修复](https://s2-11093.kwimgs.com/kos/nlav11093/Kwai-IT/Shell/Kwai-IT-Shell-Install-Driver-Latitude-5310.exe)

2、[Latitude 5320 驱动修复](https://s2-11093.kwimgs.com/kos/nlav11093/Kwai-IT/Shell/Kwai-IT-Shell-Install-Driver-Latitude-5320.exe)

3、[Latitude 5411 驱动修复](https://s2-11093.kwimgs.com/kos/nlav11093/Kwai-IT/Shell/Kwai-IT-Shell-Install-Driver-Latitude-5411.exe)

4、[Inspiron 13 5310](https://s2-11093.kwimgs.com/kos/nlav11093/Kwai-IT/Shell/Kwai-IT-Shell-Install-Driver-Inspiron-13-5310.exe)

5、[OptiPlex 5480 驱动修复](https://s2-11093.kwimgs.com/kos/nlav11093/Kwai-IT/Shell/Kwai-IT-Shell-Install-Driver-OptiPlex-5480.exe)

特别提醒：同学在下载完成后，务必使用 “右键”，“以管理员身份运行”此修复工具，修复时长预计5~10min左右。"
元中心的职场相关信息,元中心,职场图|元中心地图,"<font color=""orange"">**亲爱的同学好~**</font>
想要了解元中心职场的相关信息，可以参考[此文档](https://kim-message.corp.kuaishou.com/message/71115)。
如有其他问题，请联系[行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-22664487-pQbA9Q-jJkdfD0LaONg3ICRJ0Io-kssso)咨询哦~"
如何订美餐,"食堂,美餐,快手食堂",美餐该通过什么订|怎么订美餐,"<font color=""orange"">**亲爱的同学好~**</font>
订外卖餐流程为：Kim 应用-快乐生活-快手食堂-[订餐](https://xz.corp.kuaishou.com/canteen/#/canteen/reservation)，左上角选择您的职场，即显示可预定的餐食 。

取消订外卖餐流程为：Kim应用-快乐生活-[快手食堂-订单](https://xz.corp.kuaishou.com/canteen/#/canteen/order)，选择对应订单取消即可 。

**Kimi 温馨提示**：
**订餐、取消订餐截止时间**：早餐为前一日晚21:00，午餐为当日10:00，晚餐为当日15:30；
**取餐时间**：午餐为12:00 ~ 13:30，晚餐为19:00 ~ 20:30 ，过时后会统一回收处理，能量券不予退还，同学要及时取餐哦；
**取餐地点及方式**：各工区白色外卖餐柜，具体地点根据预定餐品不同。在取餐时间到达指定餐柜位置后，点击订单内的「开柜取餐」按钮取餐；
**午餐订单退还规则**：在退单时，消耗次数的订单退单时会退还次数，消耗能量券的订单退单时会退还能量券。"
Kim会议如何查询参会人名单,,kim会议可以回查参会人员名单吗,"<font color=""orange"">**亲爱的同学好~**</font>
参会人名单如图位置所示，请参考：
![参会成员.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/e58f82e4bc9ae68890e591982e706e671710833743163.png)
注：仅支持查看近三个月的记录，超出无法查看。"
ITBP团队名单,"ITBP,itbp,itbp名单",itbp查询|ITBP|itbp|itbp名单|如何联系itbp|itbp都有谁,"<font color=""orange"">**亲爱的同学好~**</font>
ITBP 团队介绍请您参考 [ITBP 服务手册](https://docs.corp.kuaishou.com/d/home/fcACSLpFSqTekgAl4m7MVNfO5)
ITBP 驻场名单请点击 [这里查看](https://docs.corp.kuaishou.com/s/home/fcACwzc5552ORIj5jMcQhje-L)
**当不清楚自己遇到的 IT 需求应该联系谁解决时，请记得联系 ITBP**。"
HRSSC 的电话是多少,"hrssc,传真号码,hr座机,信用卡电话",办银行信用卡如果需要预留座机号码|需要慎深圳职场的座机号码，办理贷款需要|单位座机多少|公司总机是多少|公司电话|请问公司的电话和传真是什么呀|想问下公司电话用来办信用卡|办信用卡时填写公司电话|我要办信用卡，能告诉我公司电话吗|怎样查询hrssc的电话啊|哪查hrssc的电话号码|哪查hrssc的电话|hrssc的电话是多少|哪里查hrssc的电话|hrssc的电话是什么,"<font color=""orange"">**亲爱的同学好~**</font>
**京区职场**
【北京】办理贷款、信用卡、签证等业务时，如需证明收入相关信息，可填写/拨打 HR 座机 010-53952612。如需申请在职证明，可联系 [HR 咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance)；
**其他职场**
京外同学如需证明在职信息，可填写/拨打以下电话(仅能核实在职信息，其他业务不承接)：
【成都】010-53952666+分机号56224
【武汉】010-53952666+分机号56225
【无锡/淮安】010-53952666+分机号56226
【天津】010-53952666+分机号56227
其他城市 HR 座机分机号请咨询 [HR 咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance)；
外包同学请咨询外包对接人。"
长视频哪个团队负责,"长视频,动画长视频",动画长视频相关的业务由哪个团队负责,"<font color=""orange"">**亲爱的同学好~**</font>
同学可以直接kim搜索，联系一下「商业化小秘书」哦～
![image.png](https://ali-kim-file.static.yximgs.com/bs2/kimPic/19y1294ks9tih1qmf5ge914ai2041k5idbh5w94jmcdmvc3ltb5344iacgqvi6otmpl3vjhw9emzqz2a1vrfrtdafo49euzbuol9av4nu6vpmo9sycr1ev2hvvs7cfvbs8duy2iqr2zooqvqn0i.png)"
如何修改 Office 可以同步更新到 Docs,,您好，有办法让每次用一个本地excel更新同一个地址的在线文档内容么,"<font color=""orange"">**亲爱的同学好~**</font>
如果您平时在线下 Office 中进行编辑，想同步到 Docs 中，可以使用「仅上传」功能，每次更新完线下 Office 后可以点击「上传新版本」进行更新，但仅上传后的 Docs 文档、表格只能查看，无法编辑：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671716282858203.png)
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671716282883161.png)
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671716282961623.png)"
如何对公共账号进行修改、删除,"公共账号,值班号,消息号",kim账号隐藏|公共账号改名|kim公众账号注销|kim服务号怎么更改部门归属|公共账号如何修改头像|删除值班号|注销值班号|请问如果注销“快手班车”这个账号， 怎么申请|值班号申请与信息修改|oncall账号|oncall账号修改|特殊账号 想改下kim的名字|公共账号修改|公共账号删除|公共账号修改头像,"<font color=""orange"">**亲爱的同学好~**</font>
对 Kim 公共账号（值班号、小秘书账号）进行申请、修改、删除，请在账号平台上进行操作，具体可以参考此文档 [账号平台操作手册](https://docs.corp.kuaishou.com/d/home/fcADi0bozMl9joo-NfQflUzwL)，
如有其他问题，可以扫码进群反馈咨询：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671719554809025.png)"
磁力方舟的网址、帮助文档,,方舟创建制作的项目在哪里能找到|磁力方舟是什么|磁力方舟网址|磁力方舟使用手册,"<font color=""orange"">**亲爱的同学好~**</font>
磁力方舟的地址请 [点击这里](https://fangzhou.e.kuaishou.com/)；
磁力方舟的帮助文档可以参考 [磁力方舟品牌版产品手册](https://docs.qingque.cn/d/home/eZQAobijYh7lAAOwlRMpzWjgI?identityId=1sdPUkttxml#section=h.gqanp6zp6od)；
其他问题可以扫码进群咨询：
![9.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/392e706e671695283038659.png)"
如何修改工资卡,"工资卡,银行卡,卡号修改",修改工资卡号|我想改工资卡|如何更改工资卡|更改工资卡|想修改工资卡|怎么修改银行卡|工资卡怎样修改|我的工资卡怎样修改|工资卡换新的怎么修改|工资卡换新的怎样修改|怎样修改工资卡|如何修改银行卡|工资卡换新的如何修改|更换银行卡|咋修改银行卡|修改工资卡,"<font color=""orange"">**亲爱的同学好~**</font>
如您使用的是招商银行工资卡，请您进入[个人信息看板](https://ehr.corp.kuaishou.com/empboard/web?isFromLens=1)修改银行卡信息；
如您使用的是非招行银行工资卡（一般是外区同学），请点击如下链接修改银行卡信息[非招商银行卡信息管理](https://kaleido.corp.kuaishou.com/app/08c1d6bbc12d4b6391968e1a3725f766/env/online/page/3PyBI75SQTieCa5t)；
如您仍有疑问，可联系[HR咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance)获取帮助 ?"
如何提交 OA 申请,"OA,提交oa,OA系统,clsq,CLBX,cdkg",信用卡还款申请哪个流程|OA申请在哪里提交|怎样才能提交OA申请|oa|流程中心在哪提交|OA系统附件上传为啥选择不了PPT文件呢|提交普通预算的入口在哪里,"<font color=""orange"">**亲爱的同学好~**</font>
点击进入 [流程中心](https://bpm.corp.kuaishou.com/new-bpm/v2/) 可以提交 OA 申请哦~
如有任何问题，请回复「666」转 **流程中心** 的人工帮您解答。"
OTP输入密码信息后无反应,"otp输入无反应,otp,vpn",vpn输入密码后无反应,"<font color=""orange"">**亲爱的同学好~**</font>

OTP因近期使用量较大导致服务器不稳定，请您优先使用公司自研的Kit连接VPN。
**Kit下载地址**：[点击跳转](https://kit.kuaishou.com/#/)
**Kit使用手册**：[Kit 使用手册](https://docs.corp.kuaishou.com/d/home/fcAC9tWL8dfC3ubJQLIWzWVsf)
"
如何修改 WiFi 、有线网络密码,"修改网络密码,修改密码,WiFi密码,wifi密码",wifi密码修改|修改wifi密码|wifi 密码修改|怎么修改自己的无线网络密码|修改无线网络密码|修改初始密码|重制wifi密码|WiFi怎么修改|你好，请问笔记本的登录密码怎么修改呀|如何修改 wifi 、有线网络密码|在家怎么用手机改wifi密码|无线密码怎么修改|修改无线密码|修改WiFi密码|怎样修改有线网络密码|怎样修改wifi密码|有线网络|你好，我想问下，哪里能修改wifi链接密码|WiFi密码如何修改|修改上网密码|修改 wifi 密码|怎样修改WiFi、有线网络密码|怎么修改wifi密码|有线网络密码过期|如何修改wifi密码|wifi密码怎么修改|怎么修改WiFi密码|如何修改WiFi密码|WiFi密码怎么修改|WiFi密码修改,"<font color=""orange"">**亲爱的同学好~**</font>
请填写下面卡片信息进行 WiFi 密码修改；
\
**Kimi 温馨提示**：
WiFi 密码复杂度要求：长度不小于 8位 ，必须包含**数字**、**大写字母**和**小写字母**，不能包含用户名字符；-ANSWER@_@SPLIT--INTEND@_@-/it_1_00049"
离职的同学没有实体令牌，如何通过手续办理这个环节,实体令牌,没有实体令牌影响离职吗,"<font color=""orange"">**亲爱的同学好~**</font>
离职流程里配置了固有的手续办理节点，**实际是否有实体令牌不影响离职流程和审批哦**。"
在线表格如何在单元格里打斜线,斜线,在线文档的表格支持画斜线吗|文档内的表格设置斜线|表格里面怎么画斜杠,"<font color=""orange"">**亲爱的同学好~**</font>
在线表格上方工具栏，找到单元格边框，点击斜边框即可：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671721033096666.png)
注：在线文档中插入的表格暂不支持哦。"
如何设置开启、关闭快手百科,"开启百科,关闭百科,快手百科",怎么设置关闭快手百科|怎么设置开启、关闭快手百科|怎样设置开启、关闭快手百科|怎样设置开启、关闭快手辞典|怎么设置开启、关闭快手辞典|怎么设置关闭快手辞典,"<font color=""orange"">**亲爱的同学好~**</font>
Kim通用设置和Docs偏好设置中可以关闭「快手百科」功能（开关默认开启），关闭后同学查看消息和文档，都不会再触发文字划线。具体[开关位置](https://docs.corp.kuaishou.com/k/home/VFikYBuW-j4M/fcADde7yGtX5sVSkBI-Qja2-L#section=h.p06dby5ddko)在这里哦～"
面试官更换了新账号后，快招系统的面试官看板仍是旧账号是什么原因,,面试官更换了新账号后，快招系统的面试官看板仍是旧账号是什么原因,"<font color=""orange"">**亲爱的同学好~**</font>

账号变化后显示的还是原账号信息，是浏览器缓存导致的，**建议清除缓存及账号密码重新认证登陆哦**"
星巴克自助机购买指南,"星巴克,咖啡",想兑换咖啡券|能量券兑换星巴克咖啡机的咖啡|星巴克咖啡厅，需要兑换码？,"<font color=""orange"">**亲爱的同学好~**</font>

各职场星巴克自助咖啡机位置信息请点[这里](https://docs.corp.kuaishou.com/s/home/fcABjV3sW4FMCToazSABkH6Hw)查看哦。

**消费方式**：点击屏幕--选择饮品--语音提示后按照屏幕显示价格支付；
**支付方式**：刷工卡（扣除能量券）/微信/支付宝；
**购买时间**：24小时；
**咖啡杯量**：除浓缩咖啡(意式浓缩、双份意式浓缩、浓郁玛奇朵)外，其他咖啡默认均为中杯量。；
**备注**：因机器型号 饮品制作方式等不同可能存在1-3CM的杯量误差；

**其他须知**：
1. 如遇支付、扣券异常(如多扣券或已刷券未出饮并未退券等情况)，请将消费时间及异常情况于当日反馈至[行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d)，后台将于3个工作日内核实处理；
2. 请同学在支付前确认好商品，非质量问题不退不换；
3. 已兑换未使用的咖啡券会转为相应能量点返还至大家的能量券账户。"
voyager 直播公会平台问题如何反馈,"voyager,直播公会平台",开通voyager后台权限|voyager的权限怎么开通|直播公会平台的问题如何反馈,"<font color=""orange"">**亲爱的同学好~**</font>
voyager 直播工会平台的相关问题可以扫码进群咨询反馈：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671704705952339.png)"
怎么把图片从手机传到电脑上,,有没有文件传输助手|怎么把手机图片传到电脑上|怎么把文件从手机发到电脑上|怎么把文件从电脑发到手机上|怎么把图片从电脑传到手机上,"<font color=""orange"">**亲爱的同学好~**</font>
需要在电脑和手机之间互传图片、文件，可以通过 Kim 给自己发送信息的方式进行传送。"
商业保险相关信息,"商保,商业保险",保险信息更改|商业保险信息错误|商业保险是什么|商业保险|商业保险信息错误如何更改,"<font color=""orange"">**亲爱的同学好~**</font>
商业保险问题辛苦同学联系<@=username(shangbao)=>进行咨询；
![image.png](https://ali-kim-file.static.yximgs.com/bs2/kimPic/6brbhj1vhvm5bhim3rr45t2lov79p3sxot2ikitng2pue7mki13dhe551kmjnzyidal8frudkkqjqab2o2ygdcqyhnlcj7i0ut75mtpglt3qc81ch33f5inks60upwvslmrsbntkypfglff9f.png)"
怎么关闭加急消息功能,"屏蔽加急消息,取消加急,屏蔽加急",如何屏蔽加急消息|可以设置其他人不对我开启加急消息吗|关闭加急提醒|加急电话如何取消|加急短信如何取消|加急消息如何取消|可以设置其他人不对我使用加急消息吗,"<font color=""orange"">**亲爱的同学好~**</font>
很抱歉，目前不支持关闭「加急消息」，您是否担心「加急消息」被过度使用，我们限制了加急消息的使用频次，每人每天最多加急五十次。"
怎样申请快手账号官方认证,"官号,官方认证,快手账号认证",快手账号官方认证怎么申请？|快手官方账号|怎么申请快手官方账号|怎么申请快手快赚客官方账号|官号认证|官号,"<font color=""orange"">**亲爱的同学好~**</font>
关于快手账号官方认证问题，您可以查阅[快手官号申请流程及常见Q&A](https://docs.corp.kuaishou.com/d/home/fcAD2AiaWEuTKepjsZffA0j6p#section=h.vapvmscqioji)这个文档哦，如有问题，请联系文档中的对接人。
"
如何设置磁贴模式,"置顶会话,磁贴模式,横向置顶",为什么置顶的消息框是竖着排的，手机上|怎么设置磁贴模式|如何关闭置顶,"<font color=""orange"">**亲爱的同学好~**</font>
Kim PC 磁贴模式（横向置顶），将置顶的会话统一放到独立的区域，提升空间利用率，实现重要消息一键直达。
刚开启磁贴模式你可能会有些不习惯，如果置顶群数量较多，建议先更改群头像，自定义群头像支持多种颜色。
使用后，如果依然不习惯，你也可以从 Kim - 设置 - 通用中关闭「磁贴模式」，这样就恢复成旧版的纵向置顶的样式了。"
如何使用二维码分享 Docs,,你好，我想请教下，doc文档有除了链接外其他的分享方式不？如二维码？,"<font color=""orange"">**亲爱的同学好~**</font>
目前如果想用二维码的形式分享 Docs，可以使用 Docs 插件实现；
点击右侧边栏的插件库图标 -「获取更多」- 搜索「二维码生成器」：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671716887654221.png)"
如何更新转正系统自提柜地址,"转正系统,转正自提柜",转正系统自提柜地址如何更新|转正系统自提柜地址显示的是旧地址,"<font color=""orange"">**亲爱的同学好~**</font>
转正自提柜设备地址更新问题请联系<@=username(wb_zhaolina)=>处理哦。"
